file,algorithm,colors_used,time_ms
g_n100_k3_32.edges,firstfit_luf,3,0.3977
g_n100_k3_33.edges,firstfit,3,0.4184
g_n100_k3_33.edges,cbip,4,11.0915
g_n100_k3_33.edges,firstfit_luf,4,0.4129
g_n100_k3_34.edges,firstfit,7,0.4141
g_n100_k3_34.edges,cbip,3,11.6055
g_n100_k3_34.edges,firstfit_luf,3,0.3889
g_n100_k3_35.edges,firstfit,10,0.437
g_n100_k3_35.edges,cbip,2,11.6735
g_n100_k3_35.edges,firstfit_luf,8,0.4334
g_n100_k3_36.edges,firstfit,11,0.4263
g_n100_k3_36.edges,cbip,3,11.2534
g_n100_k3_36.edges,firstfit_luf,4,0.3898
g_n100_k3_37.edges,firstfit,9,0.4194
g_n100_k3_37.edges,cbip,2,11.6773
g_n100_k3_37.edges,firstfit_luf,8,0.402
g_n100_k3_38.edges,firstfit,11,0.5736
g_n100_k3_38.edges,cbip,2,11.045
g_n100_k3_38.edges,firstfit_luf,10,0.4063
g_n100_k3_39.edges,firstfit,7,0.443
g_n100_k3_39.edges,cbip,3,11.2484
g_n100_k3_39.edges,firstfit_luf,6,0.4125
g_n100_k3_4.edges,firstfit,7,0.4456
g_n100_k3_4.edges,cbip,2,11.1265
g_n100_k3_4.edges,firstfit_luf,4,0.3886
g_n100_k3_40.edges,firstfit,9,0.4818
g_n100_k3_40.edges,cbip,2,11.3783
g_n100_k3_40.edges,firstfit_luf,8,0.4697
g_n100_k3_41.edges,firstfit,9,0.5438
g_n100_k3_41.edges,cbip,4,11.673
g_n100_k3_41.edges,firstfit_luf,6,0.4163
g_n100_k3_42.edges,firstfit,9,0.4382
g_n100_k3_42.edges,cbip,3,11.204
g_n100_k3_42.edges,firstfit_luf,4,0.4234
g_n100_k3_43.edges,firstfit,10,0.4513
g_n100_k3_43.edges,cbip,3,12.121
g_n100_k3_43.edges,firstfit_luf,8,0.4013
g_n100_k3_44.edges,firstfit,9,0.4201
g_n100_k3_44.edges,cbip,2,11.3542
g_n100_k3_44.edges,firstfit_luf,8,0.4001
g_n100_k3_45.edges,firstfit,10,0.4222
g_n100_k3_45.edges,cbip,2,11.2715
g_n100_k3_45.edges,firstfit_luf,4,0.392
g_n100_k3_46.edges,firstfit,9,0.4251
g_n100_k3_46.edges,cbip,2,11.328
g_n100_k3_46.edges,firstfit_luf,4,0.3939
g_n100_k3_47.edges,firstfit,7,0.4339
g_n100_k3_47.edges,cbip,3,10.9835
g_n100_k3_47.edges,firstfit_luf,8,0.4599
g_n100_k3_48.edges,firstfit,8,0.4821
g_n100_k3_48.edges,cbip,2,11.4009
g_n100_k3_48.edges,firstfit_luf,9,0.4377
g_n100_k3_49.edges,firstfit,10,0.4506
g_n100_k3_49.edges,cbip,2,11.5888
g_n100_k3_49.edges,firstfit_luf,8,0.4075
g_n100_k3_5.edges,firstfit,11,0.4749
g_n100_k3_5.edges,cbip,3,11.0018
g_n100_k3_5.edges,firstfit_luf,7,0.396
g_n100_k3_6.edges,firstfit,8,0.4611
g_n100_k3_6.edges,cbip,3,11.539
g_n100_k3_6.edges,firstfit_luf,7,0.4382
g_n100_k3_7.edges,firstfit,4,0.4175
g_n100_k3_7.edges,cbip,3,11.8594
g_n100_k3_7.edges,firstfit_luf,7,0.4258
g_n100_k3_8.edges,firstfit,10,0.4613
g_n100_k3_8.edges,cbip,2,11.2669
g_n100_k3_8.edges,firstfit_luf,4,0.412
g_n100_k3_9.edges,firstfit,11,0.4609
g_n100_k3_9.edges,cbip,3,11.0927
g_n100_k3_9.edges,firstfit_luf,8,0.4013
g_n100_k4_0.edges,firstfit,10,0.4888
g_n100_k4_0.edges,cbip,3,12.6584
g_n100_k4_0.edges,firstfit_luf,10,0.4737
g_n100_k4_1.edges,firstfit,10,0.5219
g_n100_k4_1.edges,cbip,2,12.8572
g_n100_k4_1.edges,firstfit_luf,10,0.4313
g_n100_k4_10.edges,firstfit,12,0.4888
g_n100_k4_10.edges,cbip,4,12.3734
g_n100_k4_10.edges,firstfit_luf,9,0.4647
g_n100_k4_11.edges,firstfit,10,1.0173
g_n100_k4_11.edges,cbip,3,23.8194
g_n100_k4_11.edges,firstfit_luf,7,0.5696
g_n100_k4_12.edges,firstfit,11,0.479
g_n100_k4_12.edges,cbip,4,13.3779
g_n100_k4_12.edges,firstfit_luf,4,0.5059
g_n100_k4_13.edges,firstfit,11,0.4478
g_n100_k4_13.edges,cbip,2,12.6226
g_n100_k4_13.edges,firstfit_luf,10,0.4315
g_n100_k4_14.edges,firstfit,11,0.4935
g_n100_k4_14.edges,cbip,2,12.9416
g_n100_k4_14.edges,firstfit_luf,9,0.4284
g_n100_k4_15.edges,firstfit,11,0.4609
g_n100_k4_15.edges,cbip,2,13.1109
g_n100_k4_15.edges,firstfit_luf,10,0.4749
g_n100_k4_16.edges,firstfit,10,0.453
g_n100_k4_16.edges,cbip,2,13.0265
g_n100_k4_16.edges,firstfit_luf,10,0.4559
g_n100_k4_17.edges,firstfit,12,0.4756
g_n100_k4_17.edges,cbip,3,12.9981
g_n100_k4_17.edges,firstfit_luf,9,0.4661
g_n100_k4_18.edges,firstfit,11,0.4418
g_n100_k4_18.edges,cbip,2,12.0401
g_n100_k4_18.edges,firstfit_luf,10,0.4566
g_n100_k4_19.edges,firstfit,9,0.4456
g_n100_k4_19.edges,cbip,2,12.3062
g_n100_k4_19.edges,firstfit_luf,9,0.4439
g_n100_k4_2.edges,firstfit,12,0.4807
g_n100_k4_2.edges,cbip,2,12.4393
g_n100_k4_2.edges,firstfit_luf,8,0.4628
g_n100_k4_20.edges,firstfit,10,0.463
g_n100_k4_20.edges,cbip,2,12.1129
g_n100_k4_20.edges,firstfit_luf,8,0.4706
g_n100_k4_21.edges,firstfit,12,1.133
g_n100_k4_21.edges,cbip,2,24.334
g_n100_k4_21.edges,firstfit_luf,9,0.5987
g_n100_k4_22.edges,firstfit,11,0.5121
g_n100_k4_22.edges,cbip,2,12.5589
g_n100_k4_22.edges,firstfit_luf,10,0.4318
g_n100_k4_23.edges,firstfit,11,0.4499
g_n100_k4_23.edges,cbip,2,12.5234
g_n100_k4_23.edges,firstfit_luf,10,0.4544
g_n100_k4_24.edges,firstfit,10,0.4764
g_n100_k4_24.edges,cbip,2,12.6553
g_n100_k4_24.edges,firstfit_luf,11,0.459
g_n100_k4_25.edges,firstfit,12,0.5937
g_n100_k4_25.edges,cbip,4,12.517
g_n100_k4_25.edges,firstfit_luf,10,0.4747
g_n100_k4_26.edges,firstfit,11,0.4911
g_n100_k4_26.edges,cbip,3,12.3713
g_n100_k4_26.edges,firstfit_luf,10,0.4649
g_n100_k4_27.edges,firstfit,11,0.5696
g_n100_k4_27.edges,cbip,3,12.8272
g_n100_k4_27.edges,firstfit_luf,10,0.6065
g_n100_k4_28.edges,firstfit,11,0.4468
g_n100_k4_28.edges,cbip,2,12.5546
g_n100_k4_28.edges,firstfit_luf,10,0.4263
g_n100_k4_29.edges,firstfit,10,0.5951
g_n100_k4_29.edges,cbip,3,12.4454
g_n100_k4_29.edges,firstfit_luf,10,0.4663
g_n100_k4_3.edges,firstfit,10,0.4511
g_n100_k4_3.edges,cbip,2,12.6686
g_n100_k4_3.edges,firstfit_luf,10,0.4864
g_n100_k4_30.edges,firstfit,12,0.4435
g_n100_k4_30.edges,cbip,2,12.2931
g_n100_k4_30.edges,firstfit_luf,8,0.4532
g_n100_k4_31.edges,firstfit,10,0.4604
g_n100_k4_31.edges,cbip,2,11.7416
g_n100_k4_31.edges,firstfit_luf,8,0.4551
g_n100_k4_32.edges,firstfit,11,0.4852
g_n100_k4_32.edges,cbip,2,13.0377
g_n100_k4_32.edges,firstfit_luf,10,0.4768
g_n100_k4_33.edges,firstfit,11,0.5114
g_n100_k4_33.edges,cbip,3,13.1121
g_n100_k4_33.edges,firstfit_luf,10,0.4292
g_n100_k4_34.edges,firstfit,10,0.5195
g_n100_k4_34.edges,cbip,3,13.5972
g_n100_k4_34.edges,firstfit_luf,10,0.4964
g_n100_k4_35.edges,firstfit,11,0.5195
g_n100_k4_35.edges,cbip,2,12.8303
g_n100_k4_35.edges,firstfit_luf,7,0.4246
g_n100_k4_36.edges,firstfit,10,0.4444
g_n100_k4_36.edges,cbip,2,12.0749
g_n100_k4_36.edges,firstfit_luf,9,0.5238
g_n100_k4_37.edges,firstfit,11,0.5035
g_n100_k4_37.edges,cbip,2,12.7401
g_n100_k4_37.edges,firstfit_luf,9,0.4749
g_n100_k4_38.edges,firstfit,12,0.5031
g_n100_k4_38.edges,cbip,3,12.5716
g_n100_k4_38.edges,firstfit_luf,10,0.5229
g_n100_k4_39.edges,firstfit,13,0.4666
g_n100_k4_39.edges,cbip,3,12.6803
g_n100_k4_39.edges,firstfit_luf,10,0.4399
g_n100_k4_4.edges,firstfit,11,1.9071
g_n100_k4_4.edges,cbip,3,31.5547
g_n100_k4_4.edges,firstfit_luf,10,0.6707
g_n100_k4_40.edges,firstfit,10,0.4885
g_n100_k4_40.edges,cbip,2,12.9774
g_n100_k4_40.edges,firstfit_luf,10,0.4356
g_n100_k4_41.edges,firstfit,11,0.4585
g_n100_k4_41.edges,cbip,3,12.5172
g_n100_k4_41.edges,firstfit_luf,10,0.4966
g_n100_k4_42.edges,firstfit,10,0.6843
g_n100_k4_42.edges,cbip,2,12.5093
g_n100_k4_42.edges,firstfit_luf,9,0.4346
g_n100_k4_43.edges,firstfit,11,0.5
g_n100_k4_43.edges,cbip,2,12.6531
g_n100_k4_43.edges,firstfit_luf,5,0.4468
g_n100_k4_44.edges,firstfit,11,0.5131
g_n100_k4_44.edges,cbip,2,12.5904
g_n100_k4_44.edges,firstfit_luf,10,0.452
g_n100_k4_45.edges,firstfit,11,0.4549
g_n100_k4_45.edges,cbip,3,12.3203
g_n100_k4_45.edges,firstfit_luf,10,0.4365
g_n100_k4_46.edges,firstfit,11,0.4859
g_n100_k4_46.edges,cbip,3,12.0716
g_n100_k4_46.edges,firstfit_luf,9,0.4222
g_n100_k4_47.edges,firstfit,10,0.4606
g_n100_k4_47.edges,cbip,4,12.5375
g_n100_k4_47.edges,firstfit_luf,10,0.4385
g_n100_k4_48.edges,firstfit,11,0.4888
g_n100_k4_48.edges,cbip,2,12.2206
g_n100_k4_48.edges,firstfit_luf,10,0.4301
g_n100_k4_49.edges,firstfit,11,0.483
g_n100_k4_49.edges,cbip,2,12.3911
g_n100_k4_49.edges,firstfit_luf,10,0.453
g_n100_k4_5.edges,firstfit,12,0.4604
g_n100_k4_5.edges,cbip,2,12.373
g_n100_k4_5.edges,firstfit_luf,10,0.4361
g_n100_k4_6.edges,firstfit,11,0.4587
g_n100_k4_6.edges,cbip,2,12.3899
g_n100_k4_6.edges,firstfit_luf,10,0.4349
g_n100_k4_7.edges,firstfit,10,0.4802
g_n100_k4_7.edges,cbip,2,13.3138
g_n100_k4_7.edges,firstfit_luf,8,0.4373
g_n100_k4_8.edges,firstfit,9,0.4551
g_n100_k4_8.edges,cbip,2,12.4459
g_n100_k4_8.edges,firstfit_luf,11,0.4587
g_n100_k4_9.edges,firstfit,11,0.4618
g_n100_k4_9.edges,cbip,2,12.2929
g_n100_k4_9.edges,firstfit_luf,9,0.4337
g_n200_k2_0.edges,firstfit,4,1.2014
g_n200_k2_0.edges,cbip,3,107.229
g_n200_k2_0.edges,firstfit_luf,2,1.313
